layout,error_type,error,lost_rows,neg_control_mean,pos_control_mean,neg_stdev,pos_stdev,Zfactor_expected,SSMD_expected,Zfactor_raw,SSMD_raw,Zfactor_norm,SSMD_norm
PLAID,bowl-nl,0.05,0,98.58444694391135,34.56595646280344,4.478575205197029,4.148089045178571,0.5957419089916829,-10.48718840967019,0.09970992522428412,-4.666287318153718,0.43461585995277996,-7.273835588537984
PLAID,bowl-nl,0.05,1,98.528567040056,32.388924578593105,3.330887992310739,6.774932668497229,0.5416143653923022,-8.76083022240001,-1.1431990170584747,-1.820312151451596,0.4156358518407983,-7.260230497711497
PLAID,bowl-nl,0.05,2,97.7546902471606,38.35355590093984,4.930002342229693,5.743878839582843,0.4609253863941589,-7.847449724750908,-2.6429120699570077,-1.074815349750717,0.06986964210595825,-4.5162343262615385
PLAID,bowl-nl,0.05,0,100.04010052756628,36.49255486356583,2.346938449506476,4.995581751796633,0.6533688221355196,-11.513453840450591,0.030936855335030655,-3.7071864341102265,0.2229786174531001,-5.398637423951283
PLAID,bowl-nl,0.05,1,101.15227591329611,37.25089340436575,4.454659675772031,5.670021500380655,0.5246731395175492,-8.862112218214175,-1.47338483659951,-1.4364323194388633,-0.05926919215373094,-3.798592377006678
PLAID,bowl-nl,0.05,2,100.3926982237827,33.02753559228837,5.419730726367523,7.230153513065775,0.43665759517430747,-7.4552290120415625,-1.425510169697493,-1.6012887994620117,0.061126018942901594,-4.49385468831737
PLAID,bowl-nl,0.05,0,100.14988833697811,35.8698023310901,4.869593857920402,4.2233017357477225,0.5756277180695486,-9.97229234486313,0.045305044915503356,-3.9912676182198163,-0.053832376730826415,-4.007836621411626
PLAID,bowl-nl,0.05,1,100.55390444736231,35.78850568992641,3.5696985455658403,7.564181440550602,0.4842672075030745,-7.743181164587169,-1.1363143788845127,-1.7980151436446483,0.2621461566165194,-5.693682283544323
PLAID,bowl-nl,0.05,2,100.77536713454887,34.095560231784034,6.321319423457835,5.841023244828071,0.45280243450517843,-7.7473596955826975,-1.1350607655053468,-1.8734910271397522,0.25462122685023314,-5.652876317945336
PLAID,bowl-nl,0.05,0,99.03498777427218,35.57647668085583,3.820509725298696,5.013638343650263,0.5823658048353354,-10.067344791328196,-0.18047793740665008,-3.301657874327155,0.024131367531597614,-3.9687711429642296
PLAID,bowl-nl,0.05,1,102.57682878662051,38.636080912633574,4.534423655446171,6.556445081151804,0.4796337653828061,-8.020969607469697,-1.6970030914956502,-1.4102901191067998,0.3182415885907369,-5.840362567584279
PLAID,bowl-nl,0.05,2,99.07101120997999,37.64054500324388,5.041578906074433,5.413214557403114,0.4894328119718322,-8.30441685145482,-1.6082609546434692,-1.4809714461281283,0.09693265071730084,-4.517275812120989
PLAID,bowl-nl,0.05,0,97.94410536535702,37.271388405504,4.753671477614074,6.430133687070309,0.447009839426607,-7.587409141091938,-0.16298352479518607,-3.293914200487163,-0.07344667947986894,-3.922826907205722
PLAID,bowl-nl,0.05,1,99.2386793613837,37.46533875210812,2.9985745015444327,4.305551720650711,0.6452777452140062,-11.773459602280337,-1.1218487662953014,-1.5696097673497,0.30365600119879355,-6.092420255986565
PLAID,bowl-nl,0.05,2,101.58047542697969,34.79065075749649,6.257060212416345,6.705279052364421,0.41777032674095205,-7.282532551503944,-1.4038720301874417,-1.604152876130078,-0.12920378061459203,-3.530377415081791
PLAID,bowl-nl,0.05,0,99.62097578813021,38.00912722086245,4.635331770804039,3.5912706781878456,0.5994308250623211,-10.507249273875901,-0.14547382816148824,-3.247274755130609,0.024887080714977028,-4.347715226706153
PLAID,bowl-nl,0.05,1,100.4281879676218,36.85959568561676,4.141664265130657,5.3408670856994584,0.5524897904567367,-9.405630068705289,-1.459272498990265,-1.5890131137681516,0.02044060486840038,-4.219900129189779
PLAID,bowl-nl,0.05,2,98.2549153701557,32.21714917109361,5.429436572653692,5.997014812796863,0.48091287562603047,-8.163208329881801,-2.2932939785052895,-1.1402146994432694,0.4111363472201597,-7.204792838194755
PLAID,bowl-nl,0.05,0,98.9582665815486,32.13952646721749,4.605331857525516,4.831932137192936,0.5762896466513423,-10.010183037349382,-0.108009851288418,-3.7639704135579675,0.3601011284435911,-6.60669924185902
PLAID,bowl-nl,0.05,1,98.89601822279079,37.62956327040748,5.969680278600901,6.716835627307643,0.3787865195186214,-6.817788382925878,-0.4990022230596378,-2.8161672739299153,0.131383511040425,-4.647065933791802
PLAID,bowl-nl,0.05,2,100.09881390833266,34.64485992795725,5.745419384198752,4.446901673353971,0.5328477301489558,-9.009102653847744,-1.4745306219825758,-1.6006279033431918,0.15892997986842128,-4.661363870832653
PLAID,bowl-nl,0.05,0,101.16377059455314,35.213560065532846,4.352132605171939,3.9902790136702038,0.6205131923648127,-11.169440306260064,-0.16529711173728123,-3.2620923962477684,0.2881953837034228,-5.960254902047516
PLAID,bowl-nl,0.05,1,102.58926842259582,37.18504890879083,5.207865933299889,5.267657863123838,0.5195023864991171,-8.829537254210761,-0.4836104515369757,-2.8588467399634667,0.4429094634950065,-7.542044462366917
PLAID,bowl-nl,0.05,2,99.69741618307793,35.529026376479415,5.949421862260984,7.60789558805351,0.3661684129284303,-6.644111207180384,-0.4201757923709999,-2.967043811007515,0.3432435537768924,-6.454835115315638
PLAID,bowl-nl,0.05,0,101.71963997940848,37.18147765060571,4.9054819868302015,6.770812237984992,0.45723768061470627,-7.718879080830836,-0.06460680578568523,-3.9329292698160665,0.1691251625502258,-5.088640512428296
PLAID,bowl-nl,0.05,1,98.89596819677983,34.65557198883617,4.28501832421375,6.664099060793518,0.4886807352698106,-8.10824041388057,-1.4123659847799854,-1.6519910648920872,0.3793828472901465,-6.566841524426548
PLAID,bowl-nl,0.05,2,98.40035821598232,38.56354351252962,5.118547874413018,5.711220695985432,0.45703483930068467,-7.802161077882887,-2.931681783397813,-0.9753390834183571,0.21230795491276833,-5.3861305828401
PLAID,bowl-nl,0.05,0,97.94581729726046,31.195331227585957,3.7105376700893684,2.7449345726403154,0.7098685287778387,-14.462272489892168,-0.0396940902001941,-3.557161425406848,0.31098107318998514,-5.713493382593449
PLAID,bowl-nl,0.05,1,100.20516608553689,36.427606177779126,4.260576418970002,3.3528944457993046,0.6418738404645414,-11.76347155066012,-1.4923956993985494,-1.5110037866565518,0.2578269488707434,-5.607617671490585
PLAID,bowl-nl,0.05,2,101.37987857402774,33.46463641491949,3.815038319389308,8.64574196368169,0.44957362057790196,-7.18676304524038,-2.461756643862987,-1.1401215527368993,0.21741737856175936,-4.730030212287651
PLAID,bowl-nl,0.05,0,100.05538533896882,37.80578254466493,6.5321655448684615,7.1601043518502285,0.34012736071763694,-6.422733519693125,-0.07692863004689232,-3.8460578381201787,-0.014462460322408832,-4.111193280508857
PLAID,bowl-nl,0.05,1,102.12569173531627,34.03898256008314,4.233527584436027,3.6563541262560832,0.6523602709133975,-12.171606256426236,-1.1431982728600918,-1.7526869041496884,0.045465944658546475,-4.431652684569782
PLAID,bowl-nl,0.05,2,100.14481456921689,36.44209794552336,3.787292780575504,3.651897873368839,0.6496605930690835,-12.108081747521052,-2.397233186719336,-1.102842515104391,0.24530270172826574,-5.6162021826031685
